fake_custodian_id,fake_custodian_name,true_custodian_name,product_count,fake_product_ids,fake_association_codes
CUSTODIAN_001,CUSTODIAN_GROUP_001,兴业证券股份有限公司,4,PRODUCT_002;PRODUCT_003;PRODUCT_004;PRODUCT_005,XXX002;XXX003;XXX004;XXX005
CUSTODIAN_002,CUSTODIAN_GROUP_002,招商证券股份有限公司,2,PRODUCT_008;PRODUCT_013,XXX008;XXX013
CUSTODIAN_003,CUSTODIAN_GROUP_003,中信证券股份有限公司,4,PRODUCT_009;PRODUCT_018;PRODUCT_020;PRODUCT_006,XXX009;XXX018;XXX020;XXX006
CUSTODIAN_004,CUSTODIAN_GROUP_004,东方证券股份有限公司,5,PRODUCT_010;PRODUCT_011;PRODUCT_015;PRODUCT_017;PRODUCT_019,XXX010;XXX011;XXX015;XXX017;XXX019
CUSTODIAN_005,CUSTODIAN_GROUP_005,中信建投证券股份有限公司,1,PRODUCT_021,XXX021
CUSTODIAN_006,CUSTODIAN_GROUP_006,国泰海通证券股份有限公司,2,PRODUCT_014;PRODUCT_012,XXX014;XXX012
CUSTODIAN_007,CUSTODIAN_GROUP_007,国信证券股份有限公司,1,PRODUCT_001,XXX001
CUSTODIAN_008,CUSTODIAN_GROUP_008,长城证券股份有限公司,1,PRODUCT_023,XXX023
