source_file,sheet_name,valuation_date,product_id,association_code,custodian_id,custodian_name,adapter_key,route_source,instrument_name,instrument_code_raw,instrument_code_std,exchange,asset_type,quantity,unit_cost,cost,market_price,market_value,unrealized_pnl,subject_code,subject_name,review_flag
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),金风科技,02208,02208.HK,HK,hk_equity,151000.0,5.15,777364.82,5.04,761231.32,-16133.5,11028101H02208,金风科技,
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),长城汽车,02333,02333.HK,HK,hk_equity,93500.0,12.68,1185224.45,13.47,1259287.92,74063.47,11028101H02333,长城汽车,
