证券投资基金估值表,,,,,,,,,,,
上海和谐汇一资产管理有限公司___PRODUCT_002___专用表,,,,,,,,,,,
估值日期：20250327,,,,,,,单位净值：0.7807,,,单位：元,
科目代码,科目名称,数量,单位成本,成本,成本占净值%,市价,市值,市值占净值%,估值增值,停牌信息,
110281,港股通,"4,046,400.00",,"318,651,805.97",24.6474,,"360,899,113.62",27.9152,"42,247,307.65",,
11028101,股票成本_股票成本_港股通,"4,046,400.00",,"318,651,805.97",24.6474,,"360,899,113.62",27.9152,"42,247,307.65",,
11028101H00700,腾讯控股,"49,700.00",394.73,"19,618,008.19",1.5174,476.07,"23,660,564.69",1.8301,"4,042,556.50",【正常交易】,
11028101H02015,理想汽车－Ｗ,"628,800.00",96.49,"60,675,526.64",4.6932,96.52,"60,693,637.25",4.6946,"18,110.61",【正常交易】,
11028101H02020,安踏体育,"1,411,800.00",78.66,"111,055,429.26",8.59,83.71,"118,180,860.33",9.1412,"7,125,431.07",【正常交易】,
11028101H02313,申洲国际,"65,200.00",57.17,"3,727,492.82",0.2883,57.29,"3,735,120.55",0.2889,"7,627.73",【正常交易】,
11028101H09926,康方生物－Ｂ,"1,364,000.00",56.35,"76,865,159.77",5.9455,66.36,"90,514,405.74",7.0012,"13,649,245.97",【正常交易】,
11028101H09988,阿里巴巴－Ｗ,"526,900.00",88.65,"46,710,189.29",3.613,121.68,"64,114,525.06",4.9592,"17,404,335.77",【正常交易】,
11028199,股票估值增值_港股通,,,"42,247,307.65",3.2678,,"42,247,307.65",3.2678,,,
11028199H00700,腾讯控股,,,"4,042,556.50",0.3127,,"4,042,556.50",0.3127,,,
11028199H02015,理想汽车－Ｗ,,,"18,110.61",0.0014,,"18,110.61",0.0014,,,
11028199H02020,安踏体育,,,"7,125,431.07",0.5511,,"7,125,431.07",0.5511,,,
11028199H02313,申洲国际,,,"7,627.73",0.0006,,"7,627.73",0.0006,,,
11028199H09926,康方生物－Ｂ,,,"13,649,245.97",1.0558,,"13,649,245.97",1.0558,,,
11028199H09988,阿里巴巴－Ｗ,,,"17,404,335.77",1.3462,,"17,404,335.77",1.3462,,,
1102C1,上交所_科创板,"5,290.00",,"1,937,679.98",0.1499,,"2,078,970.00",0.1608,"141,290.02",,
1102C101,股票成本_上交所_科创板,"5,290.00",,"1,937,679.98",0.1499,,"2,078,970.00",0.1608,"141,290.02",,
1102C101688617,惠泰医疗,"5,290.00",366.29,"1,937,679.98",0.1499,393.00,"2,078,970.00",0.1608,"141,290.02",【正常交易】,
1102C199,股票估值增值_上交所_科创板,,,"141,290.02",0.0109,,"141,290.02",0.0109,,,
1102C199688617,惠泰医疗,,,"141,290.02",0.0109,,"141,290.02",0.0109,,,
2203,应付赎回款,,,"4,159,870.00",0.3218,,"4,159,870.00",0.3218,,,
220301,应付赎回款,,,"4,159,870.00",0.3218,,"4,159,870.00",0.3218,,,
22030101,A类份额,,,"4,159,870.00",0.3218,,"4,159,870.00",0.3218,,,
2205,应付运营服务费,,,"77,972.79",0.006,,"77,972.79",0.006,,,
220501,应付运营服务费,,,"77,972.79",0.006,,"77,972.79",0.006,,,
2206,应付管理人报酬,,,"113,817.69",0.0088,,"113,817.69",0.0088,,,
220601,应付管理人报酬,,,"113,817.69",0.0088,,"113,817.69",0.0088,,,
